Feature,mixed_host3,mixed_innate1,white_host2,host1,host2,host3,mixed_host1,pink_host1,white_host1,pink_host2,pink_host3,pink_innate1,pink_innate2,innate3,innate2,pink_innate3,innate1,mixed_host2,white_host3,white_innate1,white_innate2,mixed_innate2,mixed_innate3,white_innate3
m_93,3013933,1800497,2090569.2,2091653.9,1887232.4,1816662.9,2260633.8,1912917.6,2157844,2425215.5,2359107.5,1430388.1,1452521.8,1390332.4,1398470.1,1502583.6,1290224.9,1957012,1991832,1368921,1218820.2,1401316.9,1363349.9,1530093
m_145,2264295.5,1104770.9,1048915.2,2043395,2014564,2294569,1750130.1,2020664.6,2290828.2,2632157,1477368.1,1111192.4,1321087.2,1143814.1,1255708.4,1197873.1,1194821.5,1738431.6,1508745.4,1368521.8,1167705.8,1261781.1,1028764.6,1504369
m_339,1078385.8,1013525.2,1649382.6,1709824.8,1745151.4,1815440.4,2019751,2096573.6,2164919,2027966.1,2214693.2,2110232.8,2034900,1965446.1,1989027.8,2264608.2,1838014.9,2249240.5,1943668,1678981.6,1680822.6,1847836.8,1951192.9,2047095.1
m_415,1249339.6,1235665.5,2043126.5,1818095.9,1860789.8,1940031.4,2333147.5,2369126.8,2496579.2,2381278,2578813.8,2233771,2162470.5,1818766.4,2106964,2353223,1995913.6,2453242,2263924.5,1863974.9,1890403.2,2262074.8,2306858.5,2183220.2
m_46,2701645,3230049,1408424.6,1522228.1,1589962.8,1585774.1,2117064,1898493.4,2014557.6,1830972.6,1858023.2,2127495.5,2175046,2128544.8,1827077.1,2057257,1991370.8,1735725.4,1701019.5,1915568,1955311,2243956.2,2560228,2412311.2
m_270,2314669,2612131,711514.5,1248644.9,1334888.4,2146191.5,1541937.8,2057532.6,1823251.4,1644794.1,1003731.06,1694039.9,1292956,2211488,1540352.5,1491341.9,1656583,2020600.8,1580940.5,1095826.9,1070176.8,2038683,2608737,1567828.1
m_9,2217241.2,1736276.2,1139418.5,1240007.6,1188134.5,1510424.4,1714455.9,1847248.9,1911745.8,1702816,1690885.6,1946344.4,1600607.1,2100969.8,1563909.1,1597516.6,1529011.1,1910749.4,1756167.4,1158692.9,1131901.2,1465358.8,2181505,1671030.6
m_72,2001619.2,2159829.5,966464.1,1513457,1478198,1777864.2,1546442.1,1844775,1707145.2,1501164.8,1283510.5,1718298.6,1384264.8,1853895.4,1461243.8,1568838.4,1499181.2,1803063.6,1477324.4,1181741.2,1112457.9,1582312.2,2074987.4,1540701.6
m_337,2637411.8,4091366,1231515.5,1814753.9,1227357.8,1720664.2,1977794.2,1547479.9,2586065.2,3512097.5,1605696,1336522.8,1806963.1,1704226.9,841183,2163919.2,1681219.1,1617317.6,1810169.1,1454746.9,2873249.5,2253630.2,2629584,2032387.5
m_381,1262874.2,4811270,1666428.2,648366.44,1047370.3,2226087,2034069,1232403.1,1819487.6,4039234,2604385,2089479.2,2094736.1,1388619.8,840249.8,1976760.8,3092064,1349347.4,959153.75,3021782.2,1305953.1,1496388.8,1431220.4,3503324.2
m_144,119858.76,479437.66,1285061.8,717604.56,1026342,3414068,2114460.5,1664449.8,1935217.2,1755374,818829.2,1752404.9,1953687.4,827469,1838902.6,1790839.2,2342009,1959990.9,2236629,2645959.2,3062359.5,3384630,1194751.4,2135523.2
m_210,140827.03,436674.78,990955.9,632509.1,876687.5,2884164.5,1895458.8,1647280,1793199.6,1827570,715628.25,1610399.1,1694424.5,818951.44,1830661.8,1732306.4,2083601,1897186.5,2186976,2319039.2,2739063.8,3031039.5,1142480.9,1789725.1
m_425,886806.4,959668.06,681049.9,653571.4,643420.75,1537821.1,1463877.9,1855817.1,1127132.5,1725146.6,903223.1,2524329.8,3222041.5,1840664.4,1435631.6,2783818.8,2611134.2,1918881.8,1624746.8,2606459.2,1575840.8,3139801.2,499917.22,1379296.2
m_436,1077168.4,701159,547470.5,862546.8,857919.06,1797114.8,1311589.6,1718624.9,1454717.1,1408929,815856.06,1979466,2223777.5,2092949.2,1832969.2,2184064,2085244.4,2054214.1,1956055.8,1795057.4,1793794,2374148.2,2175885.5,1961340.5
m_52,1258054.8,730087.9,439706.3,459675.25,429358.34,2675789.5,569655.06,2179883,644711.8,645994.94,605133.5,1352359.5,1687842.1,1976884.9,1394150.9,1037511.06,1400675.1,2669642.8,932064.3,750411.75,621127.06,4780625,1212011,1263183
m_310,3100.5288,36312.184,172182.62,117820.82,282221.47,2646199.5,969870.1,763928.6,987651.25,954496.75,181795.47,701898.2,864562.9,230011.28,937968.06,861233.9,1482621.9,1011361.75,1404150.4,1674023.8,2625430.8,2944607.8,404712.16,959817.2
m_64,123534.84,235636.38,296169.6,421701.34,618407.1,2051046.4,1248041.8,1098605.2,1150450.4,1216278.9,483912.03,1020448,1192163.1,504969.9,1118253.1,1163139.5,1506058.1,1330373,1455818.5,1579255.5,1972808.4,2307628.5,718341.06,1190558.1
m_103,61668.414,98751.67,287627.75,396435.9,659976.6,2162212.5,1344289.4,1164446.8,1176101.6,1283195,534618.4,1188273.1,1205880.2,535884.25,1235439.4,1243432.1,1574724.2,1414116,1474569.1,1613604.4,2020154.4,2246146.5,778886.2,1203307
m_182,529762.06,280539.66,2451707,493402.2,153437.9,1339589.8,2085882.9,365509.72,433606.22,1784964.9,3159420.5,124592.805,67083.68,46542.44,65735.41,157096.33,275527.56,45543.06,467976.72,3530355,617834.44,1779518.6,1244140.1,490323.66
m_424,1375643.8,3246151,1025705.9,247860.25,130754.51,3839579.8,1711725.5,2082563.6,2025965.8,1331288.8,2060556.5,105324.414,123853.73,48110.56,91183.375,235135.47,247277.98,237430.1,140039.48,1878938,158142.27,2165216.5,1948949.9,2042367.6
m_243,3280136.2,1859717.5,726743.9,438371.4,313433.5,2386733.8,1149822.5,1216755.1,2106435.8,1830986.5,1749555.6,423900.6,572566.44,334973.6,323311.12,660165.25,584673.5,491420.88,248374.73,1413494.2,416266.94,1828936.2,2534901.2,1598240.8
m_332,2753304.2,1587313.5,1469323.9,225393.19,175551.42,1978608.9,1982881.2,1057824.6,1672478.9,1040802.7,1296261,218256.98,372393.9,206031.1,202163.4,421340.97,317829.25,360557.66,265779.88,1226684.4,275060.56,2146202.2,1554045.9,1292959.8
m_338,725323.25,102883.56,1536507.6,569298.94,21574.334,1831115.8,2288470.8,2620993.2,2363156.2,5667989.5,3594113.8,25295.67,34217.574,1337203.4,2214918.8,1861113.4,1387320.1,2878073.2,36082.176,3217598.5,45928.82,2936460,48149.29,3120919
m_354,3106745.8,100169.18,1957207.5,1317272.8,40706.098,1141625.6,645982.3,542331.25,1163132.4,3905381.8,1638681,105440.77,71944.7,1699017.1,1930155.1,2770398.8,2020373.5,1449058.4,3357491.2,2558219.5,46661.94,764410.44,1254728.6,616356.6
m_373,2543310.8,61506.67,1630335.4,619031.4,19001.707,881988.6,583465.94,471511.44,924911.9,1980345.1,1443517,56557.242,38878.72,1358980,1652180.9,2462407.8,897723.06,670222.9,2617107.8,1268731.1,28570.066,656317.56,925705.9,537407.94
m_316,1758738.4,164681.94,1003160.6,667202.56,75634.945,1002341.5,434741.84,638550.75,1512619.8,1831131,1248280,133127,94953.46,1343308.6,1565548.1,1450683.4,988907.44,715540.56,2971149.8,1285253.6,92049.84,1016555.6,1661187.6,534567.1
m_353,1210798.1,100169.18,1276642,836034.4,40706.098,814232.5,239868.1,380064.06,1291134.5,2628695.8,1098348.2,105440.77,71944.7,1140218,1279766.1,1830907.8,754275.06,993002.8,2342911,1720030.4,46661.94,538352.75,965468.4,434117.38
m_374,1469435.6,61506.67,961000.06,619031.4,19001.707,769332,340584.4,520516.78,780157.5,1613108.6,870182.94,56557.242,38878.72,1123485.1,1355765.4,1463065.5,830992.7,736374.1,2278874.5,1397884.2,28570.066,426052.47,855719.1,431470.94
m_177,3388055.8,814542.06,960018,973154.1,794111.5,1247128.1,2677046.5,2704002,1096547.6,2844248.8,2899449,743453.3,625574.1,695364.2,634960.3,666943.3,654271.9,2071270.8,1533281.2,514771.6,505242.44,601499.9,637447.44,609270.75
m_138,2712507.5,1235937.2,1626650,1911994.2,1814164.1,1769570.2,1778019.8,1846686,1928167.4,1941373.5,1823980.9,1012560.75,1081244.8,1108237.5,1024685.9,1077460.6,1038441.56,1973334.4,1841319.8,914187.44,819891.06,1022394.8,714869.8,1079648.4
m_139,2248886.2,601406.1,1645147.9,1624906.1,1464899.2,1452527.9,1676968.8,1415013.6,1424487.6,1852753.9,2001616.1,888704.94,912821.25,889500.5,821304.44,934829.2,835408.1,1376050.9,1336087.1,871075.9,799334.6,977994.8,402187.28,1049035.5
m_320,1587731,1001330.06,1885083.9,2086306.5,1655310.6,1639171.9,2068887.6,1593681.5,1890189.6,1229267.6,1819143.4,1686959.1,581657.75,651995.06,1317887.8,1601580.4,2320163,1596366,1478109.2,826289.75,469191.94,1225907,916600.2,650196.94
m_321,2243933,1332034.6,2327891.5,2723800.5,2165002.2,1507445.2,2373706.2,1346573.9,1745202,1052529.2,1934629.5,1784635.5,527586.1,507197.56,1607608.8,1448008.4,2223174.2,1536912.8,1682801.1,973064.6,480329.62,1098296.4,1691559.8,1398660.9
m_380,1578968.2,1882381.1,456693.5,963690.56,1041827.56,1702938.8,1181032.4,1546451.5,1333815.4,1169334.2,750793,1373763.2,1035601.75,1601428.9,1153602.8,1149495.5,1225515.8,1562216,1124899,838312.9,793743.75,1432581.5,1921505.6,1129181
m_326,1833196.4,1180579.8,1441648.5,2024925.1,1539186,2002767,1669819.8,1357435.5,1464979.1,1400307.2,1092054.5,1362193.2,1177824.9,1397805.6,1106449,1299310,1317925.6,1918344.8,1546877.5,1372469.2,1182583.8,1231160.5,1468330.8,1292711.1
m_221,2015376.8,1414977.2,1092667.8,1399374.5,1194679.5,1566213.6,1336462.8,1132246.1,1564275.2,1428173.9,1020528.94,1390245.4,1414223,1419855.5,1054786.9,1363868.2,1146615.8,1285436.4,1485346.8,1267561.9,1192752.2,1092719,1389477.9,1399664.1
m_290,1663237.8,1358678,1340397.2,1395420.4,1216217.2,1443284.2,1309493.2,1124325.1,1313948,1233334.5,1053642.8,1216807,1101086.5,1272913.2,1091778.5,1155203.8,1156066.9,1412607.6,1340930.8,1017457.94,911215.4,1013155.56,970879.2,1107160.6
m_362,1849956.1,1020478.9,1168848.2,1229287.8,687348.94,446129.2,1287064.9,1354937.6,534004.94,1002707.3,1353860.8,1336429.6,1355577.4,1389128.1,1485369.5,1433232.4,1359275.4,1395131,1315381.6,1214458.5,1170786.9,1301573.4,490771.03,1379378.5
m_92,1416124.1,1305001,1061870.4,956455.9,727550.75,894249,1632205.2,1195700.1,1070021.2,1164821.4,804720.94,900796.2,933369,515321.78,838366.4,802507.25,597763.5,1425465.8,1479831.4,638891.3,736823.44,833639.8,1179129.4,794527.3
m_99,2548118,1500820,1696682.2,1090840.4,1090846,1210701.8,1653386.5,1056812.2,1698921.4,1072342.6,957857.7,1065722.1,992263.25,1038266.5,879806.1,1080391.2,959947.5,1425612.5,1639416.4,914230.3,826207.5,1048052.1,1149429.6,1096666.2
m_222,1524910.2,1424144.4,2528698.5,3866369,2519672.8,4607555.5,1252795.9,1400905.6,1443008.6,1045359.1,1141646.6,1237435.8,1136208.4,1338532.4,1252490.2,1095790.6,1244492.8,1408599.5,1958157.5,953907.8,899115.2,1118209,912699.2,1118178.4
m_56,1748326.6,1995083.6,2824701,2610198.5,2366008.5,2696557.2,1309634.2,920613.6,3282945.5,1021515.8,999152.25,823029.8,742628.44,2342894.5,2059121.2,889546.56,2106676.5,1366121.8,3465789.5,1598461.9,1390200.8,1319289.2,1079551.4,1876148
m_281,1267047.5,1442189.4,2085575.8,1866590.4,1696807,1925947.2,891040.25,627309.6,2453300,695660.94,681088.1,566297.9,516730.8,1660876.2,1464089.4,611189.9,1481123.5,936740.75,2561577,1149427.5,980405.8,939445,750932.44,1375948
m_5,231464.69,3257.5315,781481.4,1675771.5,1444737.6,5276007.5,2436211,2496051.2,2176544,2482630,1055026.5,346408.22,448613.94,605176.6,237056.6,203723.7,359209.03,1481337.6,2270583.8,507093.44,215034.14,188951.03,194191.17,575546.44
m_162,537437.4,445270.25,1270318.9,1927585.2,1932320,2861693.5,350532.66,441626.25,1894160.6,202095.69,343638.62,223197.47,186289.67,163137.81,417094.16,177429.48,375248.56,449856.4,1887345.4,98638.45,132118.22,167392.39,339967.62,102509.19
m_204,427344.03,775627.9,2483097.5,3573805.8,3129934,4407314,429714.75,436887,3272365.5,211834.3,363713.34,312116.66,237857.7,80592.72,1310423.6,391954.72,1254440.2,489729.1,3451877,250917.17,207769.22,435849.1,656337.94,237854.72
m_88,388965.12,6346292,480182.53,1093804.5,879629.75,576868.4,323452.3,87308.16,938629.9,15873.813,22307.793,1389757.5,608982.4,1458041.4,1762688,407568.88,969066.9,297174.84,1548395.9,249283.05,457870.88,352866,1191247.6,748212.94
m_89,192512.94,3499775.8,453530.88,904434.2,688402.7,408281.06,251008.81,54742.703,585863.2,12487.079,8024.518,938121.6,415182.03,865884.3,1190905.6,279001.62,710580.06,176235.4,1060799.6,218350.98,374762.62,252893.22,925219.25,516642.16
m_116,8149.3364,1648498.8,39863.715,1734348.6,2230695.8,39618.152,36503.613,38327.965,42970.652,35929.273,43649.117,2707182.2,2810388,2405900,2457396.5,2579443.8,2728828.8,2379675.2,327258.3,518963.12,2190701.8,231238,1009133.2,587640.25
m_218,9580.611,434879.3,7508.9316,2143943.2,2431367.5,8103.015,9625.885,5293.1406,13226.094,15562.036,3165.1067,2661810.5,2145222.8,2328699.8,2448255.2,2505561,2602229.2,2885265,729736.56,218855.36,2174599.2,253197.11,275351.9,280908.44
m_108,35280.043,2287303.5,265155.84,488183.03,727370.5,461894.66,73761.27,41764.98,597965.5,22268.984,42143.312,1583308.4,1619887.2,2269170.5,2350560.5,1349082.5,2870312.2,60102.273,237435,1028789.44,1547146.5,1441990.9,1704488,1635908.8
m_235,44194.74,2672707,39364.93,27705.281,36747.39,34357.094,46786.766,51107.906,49772.824,31892.812,62429.195,1285348,1013421.3,830558.3,1163975.5,1254954.4,904577.75,30825.512,56473.375,927828.3,1575727,1098272.4,2077092.2,903837.7
m_276,205920.06,3299388,38814.695,181591.6,149100.12,56606.83,191992.3,121745.57,111975.37,74344.76,304619.8,2216004.2,1734388.4,1366266.6,2018222.5,1865157.1,1477678,226309.6,124542.77,971707.06,1725163,1439007.8,2334224.8,1048072.4
m_3,455079.4,212839.48,136530.17,342982.94,324745.66,1208760.4,677780.8,1082126.2,747059.75,745633.1,293438.62,1414903.8,1771006.4,1613660,1222301.9,1723201.8,1581602,1441915.6,1405881.2,1230412.9,1246929.6,2137364,1812208.8,1360787.4
m_70,372949.03,163081.61,107595.35,270279.03,257331.42,945734.06,521482.88,874328.44,592238.4,601721.75,232806.25,1077201,1318039.4,1273394.5,961575.75,1299362.9,1241139.4,1110762.6,1108182.5,967865.75,964997.5,1606667.8,1399222.5,1066981.5
m_236,685062.25,2239232,471611.94,497249.53,567719.9,777210.4,734804.6,1061190.9,760720.2,972834.44,381889.53,1623647.5,1596880.1,2671049.8,825400,1457323.1,907253.6,1164457.1,536911.2,2213516.8,1477849.9,2388479.5,1376676.4,1700610.4
m_193,663524.1,1483721.2,243467.39,175994.45,429407.1,232199.33,366618.84,495548.94,503457.6,528154.4,184115.2,1338546.9,1274316.4,1859081,1196071,1488826.9,1549916.6,431687.78,355820.66,1631216.8,1330054.5,1635136.8,426226.03,1955268.5
m_237,685062.25,1641645,471611.94,497249.53,567719.9,777210.4,734804.6,1061190.9,760720.2,483407.6,381889.53,1284760.6,1343360.9,1303115,1088647.8,1209749.2,1259195.8,1164457.1,536911.2,2207313.5,1091989.4,1130544.9,1400758.5,1270373.4
m_254,2434642.8,651189.75,889931.94,702741,873465.94,133193.25,486882.53,59649.582,871747.3,800703.8,479545.28,2821629.5,1312908.9,3546002.8,1061323.9,1172601,1640398.1,478402.84,1017511,660781,841086.9,277185.84,1003026.06,1561083.5
m_68,1190742.4,3167161.2,754653.5,853255.56,788492.3,766081.9,931322.8,665953.44,887153.7,826391.06,720065,2431925,2473546.8,2509541.8,2188601.8,2581199,2240204,724234.44,829130.6,2001751.4,1819988.1,1979526.6,1832766.5,2402890.2
m_151,1040079.7,2593254.2,619907.06,747013.06,703363.4,689251.9,801593.2,613784.6,784566.7,709288.2,534686.3,2039315.8,2014932.1,2129378.8,1835578,2092579,1899164,653327.25,729270.6,1685602,1580949.6,1736125.6,1590102.2,2013926.5
m_32,634058.56,88896.2,521523.22,218392.66,14732.44,551017.94,667709.4,1133051.4,732386.1,3168583.5,2049949.6,12108.86,24590.22,465491.53,1379175.6,665713.44,450294.38,1310856.8,35165.895,1226243.1,22785.879,1380444.8,104121.78,1192306.2
m_322,774822.6,45836.332,256628.38,40114.68,278,180298.8,180829.78,339508.9,184144.17,4416932,2791240.5,3995.3872,227,69541.95,1764338.6,156582.39,79807.91,1124712.2,1990.7041,308047.72,174,1080600.9,193,217209.83
m_340,639608.25,37142.06,283972.72,46945.21,96,195413.5,232361.33,357662.9,208043.81,3694856.5,2278506,3540.891,174,103517.94,1358920,189601.52,121668.336,922076.4,1972.3451,327098.1,196,936079.1,1511.0137,242777.27
m_83,1433524.2,25133.703,147900.1,84307.68,1981.0604,144337.3,131974.84,242813.81,251237.84,2239851.8,3341820,63004.754,8196.667,207978.75,6009090,126575.66,152541.39,2541294.5,50272.617,158739.47,10306.343,239742.12,48960.504,171788.1
m_390,1557230.2,1,15361.908,1304.6917,272,6381.005,5635.5415,26259.395,8630.373,967667,297525.9,188,115,30821.484,5308616.5,9,169,104786.14,159,7586.7324,10,51620.49,81,12156.157
m_28,1367027.1,514557.16,1372497.8,1812150,1859023.2,108146.234,921294.9,454269.34,737398,419882.53,2861259,167142.08,173196.47,152082.94,244138.95,165607.16,155419.73,310944.2,581017.94,165368.22,126571.48,142924.44,183813.23,156900.89
m_57,804178.44,208726.25,1849890.1,1936237.9,1156206,1249553.4,514608.78,368668.88,563184.44,462605.3,674903.1,245970.9,157896.84,330807.84,763250.25,226561.4,321662.72,404225.72,727343.25,146030.19,124713.414,102332.59,127793.305,166384.84
m_259,1781988.8,474762.1,750055.4,660876.6,562242.4,868552.56,1121567.2,760209.9,919456.6,684182.56,667613.8,715975.9,505577.88,694536.3,481032.72,565529.9,421526.66,1195582.6,1055571,203933.89,213012.25,271828.34,431240.22,232493.4
m_178,960390.44,271009.16,368861.53,626037.75,704774,909394.44,687226.75,1031512.44,488346.56,662537.6,786537.2,509513.16,172513.28,1131716.1,805233.44,289407.94,603196.1,747367,288249.72,187466.94,180460.1,178653.53,219289.7,238072.12
m_357,758062.8,777088.9,448016.2,978034.5,676458.56,862912.25,778232.75,1444383.5,784050.4,641120.3,840116.8,41076.676,267064.8,889324.75,901445.56,689699.7,709530,1000337.06,610212.75,601701.4,389655.44,865764.7,483563.03,399911.72
m_0,1052814.1,176126.06,36112.47,38899.605,25424.26,38067.805,635002.06,1014629.3,33623.445,973064.4,776602.9,547426.2,378129.8,91651.516,54639.953,406125.88,68401.23,608642.25,43715.242,54494.863,60078.633,117421.336,200268.48,66736.336
m_45,1874184.2,194903.69,1244.2512,172,690.43286,2816.1104,910483,2081100.6,1256.8127,2075545.2,1484090.2,678567.9,458326.38,1436.4722,1377.4087,590072,1074.5415,967245.94,5012.617,4346.48,194,102674.28,111447.18,2460.3096
m_4,3062495,210139.78,968.94147,10122.25,64914.355,213681.02,25530.064,254384.05,574450.2,55110.273,28987.393,21021.223,22902.988,54231.03,21873.705,11037.247,12330.197,476520.16,38497.395,477.90033,373.50592,1663.0691,7587.1025,16490.652
m_283,2453797.2,1203658,455911.75,8728.865,6555.1113,1009564.56,489487,761442.3,984792.1,694050.25,1146761.5,5762.836,18911.834,12069.737,9478.515,10378.319,23604.16,23797.785,56041.973,749030,2134.7415,1227016.2,917967.9,808041.94
m_385,1966523.9,988988.75,340338.88,13699.402,10231.202,1284515.4,460242.06,644809.9,898536.94,510092.16,822713.7,14943.709,23838.332,10230.575,12054.872,31502.668,22172.096,25843.312,38436.523,682488.1,24529.98,1293747.2,847531.9,753890.75
m_426,545044.2,1277177.9,403182.94,88760.41,48571.83,1438966.6,638496.8,780824.94,764280.1,483232.47,801243.8,39408.992,43444.98,17047.502,37133.168,98240.445,100379.17,88613.44,50973.645,708500.3,53976.23,828026.2,737837.4,748162.7
m_335,1105764.2,726682.7,262037.48,36601.516,26278.91,778400.1,341547.22,443050.8,549839.25,495631.66,534128.44,36384.97,33820,23226.676,33457.785,28176.889,53757.055,61156.78,40634.61,438263.84,44448.098,724764,958096.9,496405.22
m_361,1100697.4,812848.75,320537.1,6481.4927,3058.1692,473009.2,452818,693115.56,411335.66,324760.3,640058.75,4043.5942,1837.2292,9281.417,98148.64,14009.416,9362.98,28315.732,31767.117,439103.2,3142.4512,654010.06,589767.06,441174.78
m_419,310454.2,1007161.56,310704.8,67659.63,24393.143,632913.4,539170.9,639536.06,600383,464410.44,356581.44,19841.107,48782.805,4078.0396,20358.646,56660.836,48658.71,79170.94,37585.934,622025.9,20331.348,412452.88,589410.25,631676.3
m_418,895566.1,786578,587910.9,99297.016,56722.79,439297.06,364272.4,157752.34,521139.16,507194.4,644147.25,98156.65,56322.973,113187.63,45136.48,100495.2,128936.88,51145.934,55416.02,377455.88,63406.23,293202.62,451938.34,611168.5
m_377,687587.25,588565.9,209154.7,2491.394,44,347275.47,276272.2,410255.78,291985.72,245980.58,417211.03,35,15,4764.573,20116.64,7725.1074,4988.573,17782.75,11281.937,297943.88,223,394568.28,362613.12,300705.12
m_301,740458.6,583180.5,290674.4,16134.896,3186.975,360446.94,402089.3,534519.94,346980.53,276702.38,502861.47,2945.3154,2761.7305,12346.628,38674.805,12360.719,15971.906,36529.44,63527.28,362882.97,2555.647,498069.5,469413.22,349114.6
m_324,821008.4,657965.8,308677.78,25185.57,5080.3066,384040.34,409591.03,563580.44,347493.4,355773.28,529612.4,6175.6914,3828.9463,16856.023,60858.03,18902.44,20673.42,55623.79,93174.06,365451.12,4608.2856,520455.06,526854.4,340409.47
m_170,1196925.5,762888.06,852327.44,1031114.2,911064.75,978305.75,1071298.5,828416.8,968045.5,870355.6,740496.4,725384.5,708653.9,493778.72,407901.03,627811.75,802019.4,887090.9,966021.2,613284.6,559542.1,632552,634074.1,708633.7
m_256,1306008.4,951142.8,796807.25,1036183.75,1025397.3,1177834.5,1113945,1016878.6,1075795.8,1030472.2,798489.7,795681.6,648041.1,720699.1,561624.8,610777.6,662838,910226.06,967003.3,658006.7,633930.3,639746.5,918398.3,777919.5
m_346,1121687.1,971986.44,887680,1046907.6,945788.44,941572.7,1092031.5,828617.5,1089252.5,795740.9,878157.8,926390.94,563273.8,289589.8,813446.5,953859.9,1211410.2,854476,780373.06,586373.2,474786.97,818588.9,900131.25,399280.3
m_347,905680.56,1339765.5,1180825.8,1421355.8,1031802.9,986864.9,1273196.8,680218.75,920279.94,1138448.2,764238.7,935308.5,552566.6,289589.8,572500.7,910741.2,1097614.6,604129.8,633955.94,410174.94,451948.6,506226.3,803176.6,385299.25
m_55,1383423.2,1073857.8,1010814.9,1148670.2,1114193,1202503,1103865.5,910692.6,1049289.4,1020924.44,926131.06,935539.9,906944.75,1033216.25,871231.25,910970.06,953136.06,865901.25,1034820.4,806822.56,774282.5,833741.56,905350.2,922690.1
m_129,1472859.2,1137368.2,845425.8,1100501.6,953700.1,1084504.5,1189226.4,926539.8,1050733,1094323.8,953381.8,909229.5,874016.2,962058.3,825738,816626.56,882768.56,946639.44,1030575.7,707820.2,735133.25,787803.25,925249,848843.94
m_124,1055041.6,1087665.4,531065.9,774259.8,792956.5,937049.3,832068.4,954644.9,902997.5,807745.5,666571.4,921358,775195.25,1025816.06,772452.9,814107.8,796954.94,984343.7,796558.1,665129.2,585882.3,843090.94,1085602.4,788903.1
m_38,1286780.1,1359832,587923,964747,934963.5,1142431.2,1018160.6,1187407.9,1098011.1,943196,787436.44,989128.25,915846.9,1167174.4,913328.6,1028491.1,1019490.7,1176553,980811.56,696223.6,682155.8,983637.9,1342875,990497.3
m_156,1290965.4,1315280.6,625077,953737.8,989368.06,1110167.1,978943.25,1175355.2,1073518.6,985219.25,756322.6,1053698.1,884028.44,1210900,962718.6,997331.75,945912.9,1161659,955854.25,794885.2,779575.44,1009015.9,1284574,1010096
m_195,1198300.4,1229674.2,585456.9,895643.6,938137.06,1023735.6,910219.1,1085067.5,993920.1,895705.5,731030,1004176.94,868368.25,1203859.4,924367.75,972900.4,933812.5,1137627.6,859480.06,753255.5,671946.75,926010.6,1163839.2,905449
m_154,1198293.9,1221918.8,563672.94,820274.2,857757.8,1008581.1,905503,1060342,933025.94,837937.25,741490.7,963641.75,815843.94,1122802.9,895431.75,898488.25,866690.4,1067442.4,835363.56,710431.5,637746.25,864110.75,1173882.9,876259.4
m_219,1162748.6,1183089.5,582530.1,875901.4,908668.75,1071117.6,948192.56,1047466.1,967821.4,857304.44,703602.1,1005762.56,866430.8,1100039.2,880369.94,895074.56,871793.06,1079263.6,848633.2,708306.06,641842.4,854233.7,1088516,911117.94
m_42,1113789.1,1655998.9,758634.6,540087.7,466974.1,618916.25,954349.94,721411.9,699049,876477.9,789055.56,1186901.9,922726.2,1192171.1,964306.1,1263921.4,632391.75,868005.6,798390.25,927320.75,866824.94,932742.9,1157273.6,997824.3
m_97,1433574.8,1543656.5,800687.25,1050102.9,949254,1188624.4,930487.56,943913.94,1068186,867514.6,788762.44,1163621.6,902288.8,1353723.4,1029628.6,1037337.2,1089224.8,884708.06,1018353,921816.75,816326.75,1118171.1,1443423.2,1135617.8
m_293,1453820.2,1580968.5,802635.44,1062901,969858.4,1217906.5,940862.9,963112.3,1083029.8,878807.25,808854.6,1178641.2,929812.9,1378834,1040655.9,1065514,1099895.4,914703.1,1026369.56,938718.6,828682.06,1134318.8,1460840.5,1166324.5
m_306,692452.9,582345.44,472325.06,674609,574158.06,651676.8,481151.56,424157.12,497396.75,529479.94,502268.2,1172857.2,627650.4,1107630.8,584201.4,625682.3,782638.56,405345.6,576447.6,699330.2,696084.9,606532.3,1149809.8,729291.5
m_31,716221.2,1026710.4,405264.28,547924.2,464532.8,573987.8,520308.44,427080.25,539620.25,499196.2,381000.56,801730.25,767134.25,746566.56,618437.56,783645.2,701403.6,443347.3,533702.2,664842.4,616292.2,779292.06,821291.3,805387.56
m_60,1008169.6,1320912.8,535689.56,559680.25,553539.1,648147.8,589362.25,552269.1,516095.56,474562.72,466156.7,962281.06,746771.56,1008527.8,783809.1,875922.1,828859.4,402003.44,490856.28,725690.94,615611.1,829193.94,1099807.5,889182.56
m_388,835119,1424922.5,578223,959355.7,483090.47,697402.06,620948.56,556418.56,702228.3,1085579.2,814575.7,1111822.2,770935.06,707050.06,759563.06,710047.06,881771.56,847810.44,422952.72,909390.2,536650.2,606242.6,643498.5,1007122.75
m_65,631669.44,1341049.2,419370.9,476922.47,405484.7,483994.28,508160.06,462471.12,490413.06,441587.94,373545.34,1008494.1,1034967.4,1034909.2,961297.75,1043732.25,1013875.7,491236.88,537114.56,903371.1,877784.1,1006751.06,1013390.9,1074451.4
m_233,862937.56,1118339.8,250393.92,602858.4,319339.62,495770.53,532857.7,778423.8,551239,700086.75,249437.69,955078.5,1042152.6,1131238.5,938895.94,998948.3,1096652,720018.2,626161.7,983657.75,806126.8,1062228.8,715574.3,1242920.2
m_287,406519.22,848724.9,310805.9,381994.2,391864.62,451216.34,500501.53,592551.8,370212.84,424057.72,510056.47,447024.78,612219.56,180188.12,590469.8,595207.3,599428.1,429346.16,273582.62,553624.9,449907.1,980858.9,733484.9,459770.94
